episode_id,time,agent_id,observation_shape,selected_action,target_node,reward_received
0,76,1,[7],3,16,-0.0
0,76,2,[7],1,7,-0.0
0,76,3,[7],1,8,-0.07500000298023224
0,76,4,[7],2,14,-0.15000000596046448
0,76,5,[7],0,5,-1.0750000476837158
0,76,6,[7],2,11,-0.0
0,76,7,[7],2,12,-0.0
0,76,8,[7],0,8,-0.30000001192092896
0,76,9,[7],2,14,-0.0
0,76,10,[7],3,15,-0.07500000298023224
0,76,11,[7],3,16,-1.0
0,76,12,[7],0,12,-0.0
0,76,13,[7],2,8,-0.0
0,76,14,[7],4,20,-1.0
0,76,15,[7],4,20,-0.0
0,76,16,[7],3,11,-1.2000000476837158
0,76,17,[7],0,17,-1.0
0,76,18,[7],1,3,-1.0
0,76,19,[7],0,19,-0.0
0,77,0,[7],0,0,-1.0
0,77,1,[7],2,11,-0.125
0,77,2,[7],3,17,-0.0
0,77,3,[7],4,20,-0.125
0,77,4,[7],0,4,-0.0
0,77,5,[7],2,10,-0.0
0,77,6,[7],0,6,-0.0
0,77,7,[7],1,2,-0.0
0,77,8,[7],1,3,-0.0
0,77,9,[7],4,20,-0.0
0,77,10,[7],4,20,-0.20000000298023224
0,77,11,[7],1,1,-1.0
0,77,12,[7],3,17,-0.0
0,77,13,[7],1,3,-0.0
0,77,14,[7],1,4,-0.0
0,77,15,[7],2,5,-1.0750000476837158
0,77,16,[7],1,1,-0.0
0,77,17,[7],2,7,-1.0
0,77,18,[7],4,20,-0.17499999701976776
0,77,19,[7],0,19,-0.05000000074505806
0,78,0,[7],0,0,-0.05000000074505806
0,78,1,[7],1,6,-0.0
0,78,2,[7],1,7,-0.20000000298023224
0,78,3,[7],4,20,-0.10000000149011612
0,78,4,[7],0,4,-0.0
0,78,5,[7],2,10,-1.0
0,78,6,[7],0,6,-0.0
0,78,7,[7],4,20,-1.0
0,78,8,[7],2,13,-0.07500000298023224
0,78,9,[7],1,4,-1.0
0,78,10,[7],1,0,-0.0
0,78,11,[7],4,20,-1.0
0,78,12,[7],3,17,-0.22499999403953552
0,78,13,[7],4,20,-0.0
0,78,14,[7],3,19,-0.0
0,78,15,[7],2,5,-1.0
0,78,16,[7],0,16,-0.0
0,78,17,[7],2,7,-1.0750000476837158
0,78,18,[7],0,18,-0.0
0,78,19,[7],4,20,-1.0
0,79,0,[7],4,20,-1.0
0,79,1,[7],1,6,-0.0
0,79,2,[7],4,20,-0.0
0,79,3,[7],2,13,-0.0
0,79,4,[7],1,9,-0.0
0,79,5,[7],1,0,-1.0
0,79,6,[7],2,11,-1.0
0,79,7,[7],3,17,-0.22499999403953552
0,79,8,[7],2,13,-0.0
0,79,9,[7],3,19,-1.0
0,79,10,[7],0,10,-0.22499999403953552
0,79,11,[7],0,11,-0.0
0,79,12,[7],3,17,-0.0
0,79,13,[7],3,18,-1.0
0,79,14,[7],3,19,-0.0
0,79,15,[7],3,10,-1.0
0,79,16,[7],0,16,-1.0
0,79,17,[7],1,2,-0.0
0,79,18,[7],1,3,-0.0
0,79,19,[7],2,9,-1.0
0,80,0,[7],1,5,-0.0
0,80,1,[7],3,16,-0.0
0,80,2,[7],1,7,-0.0
0,80,3,[7],4,20,-0.0
0,80,4,[7],4,20,-0.0
0,80,5,[7],3,15,-0.0
0,80,6,[7],3,16,-0.07500000298023224
0,80,7,[7],4,20,-0.0
0,80,8,[7],3,18,-1.0
0,80,9,[7],4,20,-0.0
0,80,10,[7],2,5,-0.0
0,80,11,[7],4,20,-1.0
0,80,12,[7],3,17,-1.0
0,80,13,[7],1,3,-0.0
0,80,14,[7],2,9,-0.22499999403953552
0,80,15,[7],4,20,-1.0
0,80,16,[7],2,6,-0.05000000074505806
0,80,17,[7],2,7,-0.0
0,80,18,[7],1,3,-0.0
0,80,19,[7],1,4,-0.10000000149011612
0,81,0,[7],4,20,-1.0
0,81,1,[7],1,6,-0.15000000596046448
0,81,2,[7],0,2,-0.15000000596046448
0,81,3,[7],0,3,-0.0
0,81,4,[7],4,20,-0.0
0,81,5,[7],2,10,-1.0
0,81,6,[7],1,1,-1.0
0,81,7,[7],0,7,-1.0
0,81,8,[7],4,20,-0.22499999403953552
0,81,9,[7],4,20,-0.0
0,81,10,[7],2,5,-1.0
0,81,11,[7],2,6,-0.07500000298023224
0,81,12,[7],4,20,-1.0
0,81,13,[7],2,8,-1.0
0,81,14,[7],4,20,-0.0
0,81,15,[7],3,10,-0.0
0,81,16,[7],2,6,-1.0
0,81,17,[7],2,7,-1.0
0,81,18,[7],3,13,-0.0
0,81,19,[7],3,14,-1.0
0,82,0,[7],4,20,-0.0
0,82,1,[7],1,6,-0.0
0,82,2,[7],4,20,-0.0
0,82,3,[7],4,20,-0.0
0,82,4,[7],0,4,-0.17499999701976776
0,82,5,[7],1,0,-1.0
0,82,6,[7],3,16,-0.0
0,82,7,[7],1,2,-0.0
0,82,8,[7],2,13,-0.0
0,82,9,[7],3,19,-1.0
0,82,10,[7],3,15,-0.0
0,82,11,[7],4,20,-0.0
0,82,12,[7],1,2,-0.0
0,82,13,[7],1,3,-1.0
0,82,14,[7],3,19,-0.0
0,82,15,[7],1,0,-1.0
0,82,16,[7],4,20,-1.0
0,82,17,[7],0,17,-1.0
0,82,18,[7],4,20,-1.0
0,82,19,[7],4,20,-1.0
0,83,0,[7],2,10,-1.0
0,83,1,[7],0,1,-0.0
0,83,2,[7],4,20,-0.0
0,83,3,[7],0,3,-0.0
0,83,4,[7],3,19,-0.0
0,83,5,[7],2,10,-0.0
0,83,6,[7],2,11,-1.0
0,83,7,[7],2,12,-1.0750000476837158
0,83,8,[7],3,18,-0.0
